date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:41:06	45328/45328	---MCZ	200	added ('OK')	text/html	etag:W/%22a811245412161901a5696963ba710c9c%22	https://eventify-html-demo.vercel.app/index10	D:/Websites_Data_Download/eventweb/eventweb/eventify-html-demo.vercel.app/index10	(from )
18:41:06	1491/1491	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Jul%202025%2013:11:06%20GMT	https://eventify-html-demo.vercel.app/robots.txt		(from )
18:41:07	488/488	---M--	200	added ('OK')	image/png	etag:%22e8ed455e9abc0ef3d3766dc6cd57e11b%22	https://eventify-html-demo.vercel.app/assets/img/logo/fav-logo1.png	D:/Websites_Data_Download/eventweb/eventweb/eventify-html-demo.vercel.app/assets/img/logo/fav-logo1.png	(from https://eventify-html-demo.vercel.app/index10)
18:41:07	193528/193528	---MCZ	200	added ('OK')	text/css	etag:W/%22bfca1b85a7b4e7962a388d02cfbd5b4e%22	https://eventify-html-demo.vercel.app/assets/css/vendor/bootstrap.min.css	D:/Websites_Data_Download/eventweb/eventweb/eventify-html-demo.vercel.app/assets/css/vendor/bootstrap.min.css	(from https://eventify-html-demo.vercel.app/index10)
18:41:08	26053/26053	---MCZ	200	added ('OK')	text/css	etag:W/%22847da8fca8060ca1a70f976aab1210b9%22	https://eventify-html-demo.vercel.app/assets/css/vendor/aos.css	D:/Websites_Data_Download/eventweb/eventweb/eventify-html-demo.vercel.app/assets/css/vendor/aos.css	(from https://eventify-html-demo.vercel.app/index10)
18:41:09	650888/650888	---MCZ	200	added ('OK')	text/css	etag:W/%226ddf52c727ce070fe413fc1ca67db12e%22	https://eventify-html-demo.vercel.app/assets/css/vendor/fontawesome.css	D:/Websites_Data_Download/eventweb/eventweb/eventify-html-demo.vercel.app/assets/css/vendor/fontawesome.css	(from https://eventify-html-demo.vercel.app/index10)
18:41:09	7651/7651	---MCZ	200	added ('OK')	text/css	etag:W/%22f1473c8cdc96c2bf6250fe9b530f9c19%22	https://eventify-html-demo.vercel.app/assets/css/vendor/magnific-popup.css	D:/Websites_Data_Download/eventweb/eventweb/eventify-html-demo.vercel.app/assets/css/vendor/magnific-popup.css	(from https://eventify-html-demo.vercel.app/index10)
18:41:10	3156/3156	---MCZ	200	added ('OK')	text/css	etag:W/%22da99ddced03d027eb15e3203e4be29df%22	https://eventify-html-demo.vercel.app/assets/css/vendor/mobile.css	D:/Websites_Data_Download/eventweb/eventweb/eventify-html-demo.vercel.app/assets/css/vendor/mobile.css	(from https://eventify-html-demo.vercel.app/index10)
18:41:10	3356/3356	---MCZ	200	added ('OK')	text/css	etag:W/%2210c4b48fa2171853972a20cbf93eda60%22	https://eventify-html-demo.vercel.app/assets/css/vendor/owlcarousel.min.css	D:/Websites_Data_Download/eventweb/eventweb/eventify-html-demo.vercel.app/assets/css/vendor/owlcarousel.min.css	(from https://eventify-html-demo.vercel.app/index10)
18:41:11	6929/6929	---MCZ	200	added ('OK')	text/css	etag:W/%22abe3b5dfdae3b05f83fd4be839cafcd1%22	https://eventify-html-demo.vercel.app/assets/css/vendor/sidebar.css	D:/Websites_Data_Download/eventweb/eventweb/eventify-html-demo.vercel.app/assets/css/vendor/sidebar.css	(from https://eventify-html-demo.vercel.app/index10)
